epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3501.36,1.15928,0.5864,1.06217,0.95928,0.95499,0.97433,0.62986,1.22343,0.60278,1.15718,0.00038375,0.00038375,0.00038375
72,3550.61,1.15304,0.58994,1.0652,0.95911,0.95216,0.97292,0.62781,1.22209,0.62717,1.15202,0.000371375,0.000371375,0.000371375
73,3599.8,1.15915,0.59179,1.06939,0.95588,0.95241,0.97165,0.62587,1.21753,0.61202,1.15347,0.000359,0.000359,0.000359
74,3649,1.15138,0.58882,1.06617,0.95651,0.94938,0.97092,0.62774,1.21116,0.62455,1.14952,0.000346625,0.000346625,0.000346625
75,3698.26,1.1506,0.58321,1.06665,0.95949,0.95532,0.97442,0.63148,1.2073,0.61268,1.14667,0.00033425,0.00033425,0.00033425
76,3747.48,1.15197,0.58395,1.0635,0.95745,0.95037,0.97333,0.63082,1.20693,0.62569,1.14649,0.000321875,0.000321875,0.000321875
77,3796.68,1.14291,0.5779,1.05711,0.95355,0.95501,0.97297,0.62977,1.21707,0.61675,1.15476,0.0003095,0.0003095,0.0003095
78,3845.95,1.15225,0.58395,1.06335,0.95611,0.95455,0.97523,0.62816,1.21165,0.62239,1.15129,0.000297125,0.000297125,0.000297125
79,3895.18,1.13924,0.57421,1.0583,0.95654,0.95345,0.97378,0.63219,1.21471,0.60181,1.15294,0.00028475,0.00028475,0.00028475
80,3944.4,1.1341,0.57316,1.0568,0.95518,0.95151,0.97168,0.62977,1.20874,0.60693,1.15243,0.000272375,0.000272375,0.000272375
81,3993.68,1.13401,0.57305,1.05965,0.95528,0.94965,0.97276,0.63165,1.2122,0.61846,1.15248,0.00026,0.00026,0.00026
82,4042.99,1.13792,0.57635,1.06137,0.95857,0.946,0.9719,0.62849,1.21734,0.61778,1.15633,0.000247625,0.000247625,0.000247625
83,4092.19,1.13611,0.57039,1.05825,0.95917,0.94808,0.97086,0.62886,1.21553,0.6552,1.15649,0.00023525,0.00023525,0.00023525
84,4141.37,1.12772,0.57278,1.05901,0.95413,0.95267,0.97311,0.62945,1.21737,0.63488,1.15901,0.000222875,0.000222875,0.000222875
85,4190.57,1.1251,0.5682,1.05736,0.95691,0.95234,0.97339,0.62996,1.2123,0.62063,1.15854,0.0002105,0.0002105,0.0002105
86,4239.92,1.12319,0.56807,1.05661,0.95737,0.94843,0.97274,0.63114,1.21211,0.61998,1.15616,0.000198125,0.000198125,0.000198125
87,4289.12,1.11578,0.56578,1.05035,0.95913,0.95055,0.97365,0.62958,1.20959,0.61257,1.15032,0.00018575,0.00018575,0.00018575
88,4338.33,1.11586,0.56242,1.05275,0.95601,0.94903,0.97334,0.62977,1.21015,0.61216,1.15278,0.000173375,0.000173375,0.000173375
89,4387.6,1.11679,0.56111,1.05706,0.95463,0.94949,0.9734,0.63169,1.21176,0.60445,1.15374,0.000161,0.000161,0.000161
90,4436.95,1.11707,0.56007,1.04424,0.95948,0.94754,0.97286,0.63059,1.21527,0.60114,1.15427,0.000148625,0.000148625,0.000148625
91,4486.22,1.09884,0.53484,1.07725,0.9525,0.94871,0.97216,0.62651,1.21735,0.61401,1.15679,0.00013625,0.00013625,0.00013625
92,4534.91,1.09011,0.53043,1.07021,0.95584,0.94824,0.97265,0.62865,1.21286,0.60765,1.15365,0.000123875,0.000123875,0.000123875
93,4583.61,1.09131,0.52846,1.07198,0.95634,0.95028,0.97299,0.62804,1.21769,0.60241,1.15671,0.0001115,0.0001115,0.0001115
94,4632.4,1.08266,0.52372,1.06772,0.95491,0.94744,0.97206,0.62847,1.21471,0.59981,1.15527,9.9125e-05,9.9125e-05,9.9125e-05
95,4681.08,1.08163,0.52357,1.06865,0.95628,0.95083,0.97321,0.62826,1.21902,0.60108,1.15785,8.675e-05,8.675e-05,8.675e-05
96,4729.8,1.07251,0.52161,1.06814,0.95471,0.94774,0.97216,0.62855,1.22028,0.60245,1.15948,7.4375e-05,7.4375e-05,7.4375e-05
97,4778.63,1.07142,0.51918,1.06608,0.95762,0.94944,0.97264,0.62895,1.21939,0.59864,1.15965,6.2e-05,6.2e-05,6.2e-05
98,4827.35,1.07487,0.52223,1.07225,0.95403,0.95,0.97246,0.62773,1.22243,0.60381,1.16174,4.9625e-05,4.9625e-05,4.9625e-05
99,4876.06,1.07195,0.51875,1.06917,0.95309,0.94975,0.97159,0.62866,1.2201,0.59923,1.16009,3.725e-05,3.725e-05,3.725e-05
